,overall,value_eur,pace,shooting,passing,dribbling,defending,physic
2292,74,0,93.0,71.0,64.0,76.0,32.0,65.0
2293,74,7000000,77.0,73.0,63.0,71.0,25.0,74.0
2294,74,6500000,62.0,34.0,56.0,51.0,75.0,73.0
2295,74,7000000,76.0,73.0,49.0,71.0,33.0,80.0
2296,74,7000000,76.0,71.0,71.0,74.0,43.0,67.0
2297,74,7000000,81.0,74.0,55.0,72.0,27.0,65.0
2299,74,7000000,71.0,67.0,71.0,76.0,41.0,57.0
2301,74,6000000,67.0,59.0,69.0,68.0,73.0,76.0
2302,74,7000000,81.0,71.0,65.0,78.0,44.0,67.0
2303,74,6000000,64.0,59.0,57.0,60.0,73.0,73.0
2304,74,6000000,88.0,44.0,59.0,69.0,71.0,79.0
2305,74,7000000,85.0,67.0,68.0,78.0,30.0,59.0
2306,74,7000000,78.0,74.0,70.0,76.0,43.0,61.0
2307,74,7000000,78.0,69.0,72.0,76.0,36.0,52.0
2308,74,7000000,78.0,67.0,69.0,74.0,66.0,71.0
2309,74,7000000,86.0,70.0,65.0,76.0,48.0,65.0
2311,74,6500000,67.0,67.0,71.0,73.0,70.0,70.0
2312,74,7000000,92.0,63.0,67.0,77.0,57.0,69.0
2313,74,7000000,87.0,69.0,68.0,77.0,42.0,67.0
2314,74,6000000,74.0,62.0,68.0,72.0,71.0,80.0
2316,74,5500000,66.0,41.0,52.0,65.0,74.0,78.0
2317,74,6000000,59.0,53.0,59.0,57.0,72.0,80.0
2318,74,7000000,68.0,72.0,55.0,72.0,35.0,69.0
2319,74,6000000,65.0,48.0,53.0,57.0,73.0,77.0
2320,74,6000000,66.0,57.0,61.0,62.0,71.0,85.0
2321,74,7000000,64.0,73.0,55.0,66.0,39.0,81.0
2322,74,5500000,71.0,46.0,59.0,61.0,74.0,76.0
2323,74,7000000,64.0,68.0,73.0,72.0,68.0,66.0
2324,74,6500000,61.0,68.0,74.0,72.0,62.0,55.0
2325,74,6000000,92.0,51.0,66.0,73.0,69.0,69.0
2326,74,7000000,80.0,73.0,66.0,73.0,50.0,70.0
2327,74,6000000,67.0,44.0,44.0,46.0,73.0,83.0
2328,74,7000000,76.0,73.0,68.0,76.0,43.0,61.0
2329,74,6000000,47.0,33.0,44.0,53.0,76.0,74.0
2330,74,6000000,54.0,46.0,52.0,47.0,75.0,76.0
2331,74,6000000,62.0,58.0,64.0,61.0,72.0,77.0
2332,74,7000000,70.0,62.0,72.0,76.0,61.0,59.0
2333,74,6500000,54.0,67.0,74.0,71.0,68.0,73.0
2335,74,6000000,72.0,58.0,69.0,67.0,73.0,73.0
2336,74,7000000,65.0,74.0,53.0,67.0,34.0,71.0
2337,74,6000000,65.0,36.0,55.0,53.0,72.0,78.0
2338,74,6000000,63.0,43.0,54.0,51.0,72.0,78.0
2339,74,7000000,88.0,73.0,66.0,74.0,31.0,58.0
2340,74,7000000,88.0,67.0,69.0,76.0,29.0,59.0
2342,74,5500000,51.0,35.0,54.0,58.0,74.0,77.0
2343,74,6500000,73.0,65.0,72.0,77.0,42.0,57.0
2344,74,6500000,49.0,51.0,72.0,72.0,69.0,73.0
2345,74,5500000,48.0,38.0,53.0,49.0,76.0,75.0
2346,74,5500000,74.0,48.0,62.0,58.0,76.0,73.0
2348,74,5500000,58.0,50.0,58.0,55.0,73.0,78.0
2349,74,6500000,75.0,69.0,73.0,78.0,34.0,56.0
2350,74,6000000,77.0,42.0,68.0,69.0,71.0,79.0
2351,74,6500000,86.0,67.0,66.0,73.0,69.0,75.0
2352,74,6000000,63.0,70.0,75.0,75.0,71.0,69.0
2353,74,6500000,65.0,61.0,73.0,72.0,63.0,74.0
2354,74,6500000,73.0,60.0,68.0,75.0,72.0,73.0
2355,74,5500000,53.0,43.0,48.0,44.0,77.0,72.0
2356,74,6500000,80.0,72.0,57.0,71.0,24.0,71.0
2357,74,5500000,83.0,50.0,71.0,73.0,67.0,78.0
2358,74,6500000,84.0,66.0,68.0,78.0,30.0,55.0
2359,74,6500000,77.0,68.0,73.0,75.0,35.0,49.0
2360,74,6500000,64.0,67.0,71.0,73.0,66.0,74.0
2361,74,6500000,94.0,63.0,65.0,74.0,43.0,70.0
2362,74,5500000,76.0,53.0,65.0,68.0,72.0,70.0
2363,74,6500000,76.0,69.0,72.0,78.0,65.0,64.0
2364,74,6500000,70.0,64.0,72.0,75.0,65.0,70.0
2365,74,5500000,33.0,47.0,54.0,38.0,74.0,81.0
2366,74,6500000,93.0,65.0,66.0,73.0,30.0,45.0
2367,74,6500000,82.0,71.0,67.0,79.0,41.0,48.0
2368,74,6500000,76.0,73.0,64.0,76.0,37.0,70.0
2369,74,0,60.0,29.0,48.0,35.0,76.0,73.0
2370,74,6500000,78.0,71.0,59.0,75.0,24.0,69.0
2371,74,6500000,81.0,57.0,73.0,73.0,27.0,64.0
2373,74,6500000,76.0,71.0,65.0,74.0,38.0,70.0
2374,74,6500000,88.0,67.0,72.0,73.0,35.0,64.0
2375,74,6500000,76.0,73.0,70.0,80.0,46.0,65.0
2376,74,5500000,55.0,27.0,39.0,48.0,76.0,71.0
2377,74,5500000,68.0,49.0,73.0,75.0,71.0,79.0
2378,74,6500000,81.0,70.0,71.0,72.0,58.0,66.0
2379,74,6500000,68.0,74.0,47.0,62.0,36.0,79.0
2380,74,2100000,34.0,35.0,51.0,52.0,78.0,59.0
2381,74,2400000,47.0,68.0,71.0,70.0,72.0,68.0
2382,74,2600000,73.0,76.0,74.0,74.0,41.0,66.0
2383,74,1100000,41.0,37.0,47.0,52.0,74.0,73.0
2386,74,1900000,67.0,75.0,75.0,75.0,44.0,66.0
2388,74,1700000,64.0,53.0,60.0,56.0,71.0,76.0
2389,74,2500000,55.0,74.0,76.0,73.0,65.0,64.0
2391,74,1000000,70.0,69.0,69.0,72.0,72.0,77.0
2392,74,2200000,62.0,55.0,68.0,62.0,76.0,68.0
2394,74,2700000,54.0,61.0,75.0,74.0,63.0,63.0
2395,74,4400000,79.0,63.0,69.0,79.0,49.0,58.0
2397,74,3400000,68.0,69.0,75.0,77.0,54.0,57.0
2398,74,2600000,68.0,72.0,66.0,72.0,41.0,74.0
2399,74,3600000,40.0,64.0,69.0,68.0,72.0,75.0
2400,74,1800000,41.0,66.0,72.0,69.0,73.0,70.0
2401,74,3400000,64.0,72.0,75.0,75.0,32.0,55.0
2403,74,3500000,58.0,74.0,62.0,64.0,42.0,68.0
2404,74,1600000,75.0,63.0,70.0,71.0,73.0,77.0
2405,74,2100000,52.0,38.0,46.0,53.0,75.0,71.0
2406,74,2700000,55.0,69.0,77.0,68.0,66.0,72.0
2407,74,2700000,68.0,62.0,66.0,66.0,74.0,81.0
2408,74,2100000,31.0,57.0,57.0,52.0,75.0,77.0
2409,74,5500000,88.0,72.0,65.0,76.0,41.0,65.0
2410,74,4500000,80.0,72.0,61.0,71.0,36.0,69.0
2411,74,2500000,69.0,62.0,70.0,71.0,70.0,74.0
2412,74,4200000,61.0,60.0,68.0,57.0,75.0,77.0
2413,74,2500000,82.0,63.0,68.0,69.0,70.0,75.0
2414,74,4900000,77.0,70.0,70.0,74.0,27.0,64.0
2415,74,3500000,77.0,73.0,66.0,73.0,34.0,74.0
2416,74,4300000,75.0,64.0,73.0,73.0,70.0,77.0
2417,74,3600000,69.0,39.0,64.0,61.0,73.0,75.0
2419,74,4800000,70.0,71.0,72.0,78.0,65.0,74.0
2420,74,3300000,57.0,66.0,78.0,73.0,67.0,61.0
2421,74,3500000,71.0,58.0,69.0,72.0,76.0,72.0
2422,74,5500000,54.0,73.0,64.0,69.0,30.0,67.0
2424,74,3500000,76.0,61.0,62.0,74.0,72.0,73.0
2425,74,3000000,73.0,72.0,61.0,70.0,35.0,78.0
2426,74,4500000,69.0,75.0,64.0,70.0,44.0,74.0
2427,74,3300000,61.0,65.0,73.0,71.0,68.0,63.0
2428,74,4500000,70.0,74.0,66.0,74.0,39.0,74.0
2429,74,5500000,70.0,69.0,73.0,75.0,27.0,41.0
2430,74,4200000,55.0,44.0,64.0,67.0,74.0,72.0
2431,74,0,77.0,56.0,69.0,67.0,69.0,77.0
2432,74,2700000,63.0,42.0,54.0,51.0,73.0,77.0
2433,74,2700000,56.0,71.0,75.0,72.0,62.0,70.0
2434,74,3700000,42.0,45.0,64.0,64.0,71.0,80.0
2436,74,3400000,65.0,70.0,74.0,75.0,38.0,67.0
2437,74,4100000,63.0,41.0,69.0,70.0,76.0,71.0
2438,74,4900000,83.0,72.0,71.0,74.0,38.0,60.0
2439,74,2200000,32.0,61.0,67.0,64.0,74.0,81.0
2440,74,4200000,51.0,46.0,62.0,62.0,73.0,80.0
2441,74,4600000,57.0,54.0,68.0,66.0,72.0,79.0
2442,74,4400000,73.0,74.0,72.0,78.0,52.0,64.0
2443,74,4300000,72.0,65.0,77.0,73.0,48.0,66.0
2444,74,5000000,67.0,68.0,72.0,73.0,62.0,72.0
2445,74,4800000,65.0,73.0,72.0,75.0,71.0,73.0
2446,74,5000000,65.0,76.0,62.0,67.0,40.0,77.0
2448,74,4200000,32.0,39.0,44.0,53.0,76.0,75.0
2449,74,5500000,68.0,70.0,74.0,75.0,64.0,64.0
2450,74,2100000,65.0,49.0,60.0,62.0,73.0,74.0
2451,74,4600000,65.0,71.0,75.0,71.0,72.0,73.0
2452,74,5500000,64.0,64.0,76.0,75.0,49.0,53.0
2453,74,4600000,43.0,46.0,63.0,59.0,73.0,76.0
2454,74,4900000,74.0,72.0,69.0,79.0,44.0,62.0
2455,74,4900000,90.0,65.0,65.0,77.0,30.0,63.0
2456,74,5500000,69.0,69.0,74.0,72.0,68.0,76.0
2457,74,5500000,59.0,69.0,72.0,70.0,67.0,72.0
2458,74,4300000,67.0,54.0,69.0,64.0,74.0,73.0
2459,74,5500000,78.0,73.0,70.0,75.0,48.0,77.0
2461,74,4600000,66.0,34.0,58.0,62.0,74.0,74.0
2462,74,4200000,37.0,62.0,72.0,70.0,74.0,70.0
2463,74,4400000,86.0,58.0,65.0,70.0,70.0,65.0
2464,74,5500000,77.0,68.0,67.0,76.0,48.0,71.0
2465,74,2600000,70.0,76.0,69.0,74.0,35.0,61.0
2466,74,4300000,42.0,63.0,69.0,67.0,71.0,69.0
2467,74,3600000,44.0,41.0,53.0,51.0,75.0,72.0
2468,74,5000000,75.0,66.0,71.0,72.0,69.0,80.0
2469,74,4900000,45.0,29.0,40.0,48.0,74.0,77.0
2470,74,0,58.0,48.0,57.0,66.0,74.0,73.0
2471,74,4400000,75.0,72.0,69.0,76.0,32.0,60.0
2472,74,4400000,75.0,67.0,69.0,74.0,70.0,73.0
2473,74,4200000,57.0,45.0,60.0,60.0,74.0,72.0
2474,74,4600000,54.0,32.0,56.0,49.0,74.0,74.0
2475,74,4200000,33.0,26.0,57.0,46.0,77.0,74.0
2476,74,2700000,50.0,56.0,79.0,74.0,69.0,62.0
2477,74,5500000,71.0,63.0,71.0,70.0,71.0,83.0
2478,74,2200000,44.0,46.0,63.0,62.0,74.0,79.0
2480,74,5000000,76.0,72.0,64.0,76.0,38.0,75.0
2481,74,5500000,74.0,75.0,72.0,73.0,66.0,66.0
2482,74,4600000,87.0,39.0,65.0,65.0,69.0,74.0
2483,74,5500000,87.0,71.0,69.0,77.0,35.0,64.0
2484,74,5500000,65.0,72.0,75.0,74.0,54.0,63.0
2485,74,5500000,63.0,72.0,76.0,73.0,58.0,66.0
2486,74,4600000,34.0,48.0,59.0,52.0,73.0,77.0
2487,74,4100000,75.0,46.0,68.0,69.0,72.0,75.0
2488,74,4600000,52.0,38.0,50.0,50.0,73.0,82.0
2489,74,5000000,49.0,66.0,78.0,73.0,55.0,55.0
2490,74,3300000,63.0,71.0,73.0,74.0,58.0,72.0
2491,74,4400000,83.0,71.0,71.0,74.0,38.0,68.0
2492,74,4600000,84.0,38.0,52.0,55.0,71.0,82.0
2493,74,2100000,45.0,36.0,58.0,50.0,73.0,77.0
2495,74,4600000,54.0,69.0,67.0,68.0,75.0,72.0
2496,74,4300000,53.0,74.0,71.0,68.0,73.0,74.0
2497,74,3500000,66.0,37.0,66.0,74.0,75.0,65.0
2498,74,6000000,80.0,68.0,74.0,78.0,43.0,71.0
2499,74,4600000,65.0,47.0,66.0,73.0,72.0,79.0
2500,74,4300000,65.0,65.0,71.0,71.0,66.0,73.0
2501,74,4800000,70.0,65.0,73.0,74.0,75.0,65.0
2502,74,4800000,79.0,54.0,69.0,70.0,71.0,71.0
2503,74,4600000,84.0,59.0,71.0,74.0,68.0,67.0
2504,74,3600000,54.0,44.0,59.0,60.0,72.0,76.0
2505,74,5500000,77.0,72.0,69.0,80.0,37.0,65.0
2506,74,3700000,66.0,64.0,67.0,70.0,71.0,76.0
2507,74,5500000,46.0,76.0,61.0,69.0,27.0,81.0
2509,74,4800000,70.0,45.0,63.0,69.0,72.0,73.0
2510,74,5000000,63.0,74.0,55.0,62.0,38.0,84.0
2511,74,4100000,70.0,47.0,62.0,65.0,75.0,82.0
2512,74,4800000,70.0,62.0,67.0,73.0,73.0,74.0
2513,74,6000000,77.0,69.0,72.0,72.0,51.0,68.0
2514,74,4800000,76.0,55.0,63.0,69.0,72.0,76.0
2515,74,5500000,76.0,68.0,71.0,78.0,72.0,71.0
2516,74,5500000,71.0,73.0,58.0,71.0,32.0,72.0
2517,74,5500000,65.0,69.0,75.0,69.0,65.0,74.0
2518,74,4600000,58.0,53.0,57.0,52.0,76.0,82.0
2519,74,4600000,85.0,44.0,69.0,74.0,69.0,68.0
2520,74,5500000,88.0,68.0,66.0,74.0,55.0,74.0
2521,74,4300000,64.0,63.0,77.0,66.0,70.0,72.0
2522,74,4600000,67.0,63.0,64.0,66.0,73.0,79.0
2523,74,5500000,65.0,75.0,75.0,71.0,58.0,74.0
2524,74,5500000,59.0,76.0,56.0,69.0,35.0,78.0
2525,74,5000000,87.0,57.0,65.0,74.0,69.0,66.0
2526,74,5500000,60.0,59.0,70.0,72.0,68.0,59.0
2527,74,4200000,67.0,62.0,66.0,62.0,73.0,77.0
2528,74,6000000,64.0,67.0,71.0,73.0,73.0,78.0
2529,74,5500000,71.0,74.0,53.0,71.0,35.0,79.0
2530,74,4200000,37.0,38.0,54.0,37.0,75.0,75.0
2531,74,5000000,55.0,47.0,67.0,71.0,69.0,76.0
2532,74,5500000,74.0,70.0,70.0,75.0,63.0,71.0
2533,74,5500000,75.0,71.0,73.0,78.0,53.0,59.0
2534,74,6000000,63.0,74.0,65.0,69.0,44.0,75.0
2535,74,5500000,78.0,74.0,67.0,76.0,34.0,65.0
2536,74,4700000,80.0,47.0,53.0,55.0,71.0,79.0
2538,74,6000000,76.0,72.0,72.0,75.0,36.0,66.0
2539,74,4900000,71.0,73.0,76.0,75.0,43.0,63.0
2540,74,6000000,78.0,68.0,75.0,76.0,50.0,57.0
2541,74,5500000,80.0,73.0,73.0,77.0,28.0,62.0
2542,74,4600000,70.0,73.0,77.0,76.0,71.0,72.0
2543,74,6000000,79.0,74.0,64.0,71.0,24.0,70.0
2544,74,5500000,80.0,49.0,69.0,78.0,67.0,57.0
2545,74,6000000,93.0,71.0,63.0,77.0,29.0,70.0
2546,74,4800000,64.0,66.0,62.0,66.0,74.0,80.0
2547,74,5500000,67.0,67.0,72.0,73.0,51.0,58.0
2548,74,4600000,94.0,64.0,70.0,76.0,66.0,76.0
2549,74,5500000,65.0,63.0,76.0,74.0,64.0,71.0
2550,74,5500000,84.0,69.0,66.0,76.0,55.0,69.0
2551,74,5500000,75.0,72.0,64.0,70.0,39.0,74.0
2552,74,4600000,56.0,37.0,55.0,61.0,75.0,72.0
2554,74,5500000,80.0,69.0,70.0,76.0,40.0,60.0
2555,74,6000000,86.0,67.0,68.0,77.0,34.0,45.0
2556,74,5000000,68.0,69.0,73.0,71.0,68.0,74.0
2557,74,1600000,71.0,61.0,71.0,74.0,74.0,64.0
2558,74,4100000,75.0,62.0,75.0,70.0,69.0,50.0
2559,74,4800000,78.0,47.0,65.0,70.0,72.0,68.0
2560,74,5500000,84.0,68.0,69.0,78.0,31.0,55.0
2561,74,5000000,65.0,73.0,53.0,64.0,27.0,84.0
2562,74,4400000,70.0,70.0,74.0,74.0,69.0,70.0
2563,74,5500000,59.0,71.0,73.0,72.0,57.0,64.0
2564,74,6000000,72.0,68.0,74.0,78.0,28.0,58.0
2565,74,4900000,76.0,72.0,70.0,79.0,56.0,55.0
2566,74,5500000,72.0,68.0,73.0,74.0,64.0,74.0
2567,74,0,53.0,40.0,58.0,59.0,74.0,74.0
2568,74,4700000,59.0,48.0,59.0,62.0,74.0,74.0
2569,74,5500000,72.0,76.0,67.0,66.0,55.0,83.0
2570,74,6000000,70.0,75.0,57.0,69.0,35.0,77.0
2571,74,5500000,86.0,64.0,71.0,76.0,47.0,47.0
2572,74,4700000,31.0,60.0,50.0,52.0,72.0,84.0
2573,74,4800000,74.0,42.0,64.0,77.0,70.0,75.0
2574,74,4800000,64.0,57.0,68.0,66.0,73.0,74.0
2576,74,4700000,56.0,38.0,41.0,58.0,73.0,78.0
2577,74,3600000,71.0,55.0,69.0,65.0,73.0,76.0
2578,74,5500000,81.0,75.0,71.0,74.0,38.0,80.0
2579,74,4500000,79.0,74.0,61.0,73.0,42.0,67.0
2580,74,6000000,68.0,59.0,77.0,71.0,64.0,74.0
2581,74,2100000,51.0,56.0,62.0,58.0,72.0,80.0
2582,74,4800000,68.0,65.0,70.0,70.0,68.0,82.0
2583,74,5500000,68.0,74.0,68.0,74.0,38.0,66.0
2584,74,4800000,89.0,67.0,68.0,73.0,67.0,75.0
2585,74,6000000,77.0,67.0,73.0,77.0,34.0,50.0
2586,74,5500000,74.0,72.0,75.0,74.0,66.0,71.0
2587,74,3600000,60.0,49.0,50.0,56.0,72.0,79.0
2588,74,3700000,65.0,51.0,71.0,70.0,70.0,82.0
2589,74,4400000,85.0,70.0,66.0,78.0,43.0,63.0
2590,74,5500000,81.0,65.0,72.0,76.0,54.0,72.0
2591,74,5500000,78.0,71.0,73.0,75.0,37.0,65.0
2592,74,6000000,73.0,67.0,74.0,77.0,45.0,62.0
2593,74,5000000,51.0,72.0,69.0,70.0,66.0,83.0
2594,74,2200000,48.0,52.0,61.0,63.0,74.0,83.0
2595,74,5000000,51.0,73.0,64.0,66.0,46.0,79.0
2596,74,4800000,87.0,59.0,67.0,74.0,66.0,73.0
2597,74,5500000,79.0,71.0,70.0,70.0,43.0,77.0
2598,74,6000000,75.0,75.0,65.0,70.0,36.0,81.0
2599,74,0,76.0,69.0,69.0,74.0,49.0,62.0
2600,74,4600000,81.0,60.0,69.0,73.0,69.0,73.0
2601,74,4600000,66.0,45.0,63.0,69.0,74.0,75.0
2602,74,5500000,53.0,71.0,72.0,69.0,58.0,74.0
2603,74,4800000,93.0,66.0,69.0,76.0,67.0,77.0
2604,74,6000000,72.0,72.0,70.0,75.0,56.0,59.0
2605,74,4500000,87.0,72.0,70.0,77.0,28.0,61.0
2606,74,4400000,74.0,58.0,72.0,68.0,72.0,74.0
2607,74,4100000,72.0,49.0,68.0,64.0,74.0,70.0
2608,74,5000000,74.0,53.0,63.0,73.0,74.0,66.0
2609,74,1700000,54.0,45.0,66.0,59.0,74.0,74.0
2610,74,5000000,43.0,48.0,55.0,50.0,74.0,80.0
2611,74,4200000,73.0,49.0,53.0,53.0,75.0,69.0
2612,74,5000000,51.0,41.0,56.0,52.0,74.0,75.0
2613,74,5000000,64.0,59.0,72.0,63.0,73.0,77.0
2614,74,1800000,73.0,57.0,74.0,72.0,70.0,75.0
2615,74,5000000,74.0,56.0,71.0,71.0,72.0,73.0
2616,74,4900000,79.0,62.0,72.0,73.0,42.0,51.0
2617,74,2500000,85.0,64.0,67.0,74.0,51.0,61.0
2618,74,4900000,71.0,65.0,75.0,74.0,34.0,67.0
2621,74,5000000,83.0,57.0,65.0,75.0,69.0,68.0
2622,74,5000000,73.0,46.0,67.0,73.0,75.0,68.0
2623,74,4200000,68.0,54.0,58.0,63.0,73.0,74.0
2624,74,1700000,54.0,47.0,55.0,49.0,75.0,74.0
2625,74,4300000,75.0,72.0,65.0,67.0,74.0,70.0
2626,74,5000000,59.0,68.0,68.0,70.0,72.0,76.0
2627,74,1800000,70.0,69.0,74.0,73.0,73.0,71.0
2628,74,2500000,51.0,73.0,75.0,74.0,24.0,52.0
2629,74,2500000,79.0,63.0,71.0,77.0,32.0,45.0
2630,74,2500000,76.0,61.0,72.0,74.0,32.0,62.0
2631,74,2500000,72.0,72.0,73.0,75.0,29.0,66.0
2632,74,2500000,69.0,69.0,72.0,73.0,30.0,70.0
2633,74,6000000,55.0,76.0,60.0,66.0,22.0,73.0
2634,74,6000000,83.0,72.0,58.0,74.0,29.0,59.0
2635,74,6000000,79.0,76.0,57.0,63.0,23.0,69.0
2636,74,6000000,78.0,72.0,64.0,77.0,26.0,61.0
2637,74,5500000,89.0,62.0,69.0,78.0,23.0,41.0
2638,74,5000000,67.0,74.0,54.0,70.0,29.0,75.0
2639,74,2500000,67.0,68.0,69.0,76.0,31.0,49.0
2640,74,5500000,91.0,63.0,70.0,72.0,38.0,54.0
2641,74,4700000,60.0,28.0,52.0,51.0,72.0,83.0
2642,74,5500000,82.0,73.0,68.0,76.0,26.0,71.0
2643,74,5000000,70.0,74.0,46.0,70.0,28.0,77.0
2644,74,5000000,71.0,72.0,63.0,70.0,43.0,77.0
2645,74,4500000,64.0,75.0,54.0,65.0,25.0,72.0
2646,74,5500000,74.0,63.0,69.0,72.0,69.0,72.0
2647,74,5000000,72.0,61.0,69.0,74.0,70.0,81.0
2648,74,6000000,88.0,67.0,68.0,79.0,28.0,52.0
2651,73,8000000,63.0,35.0,43.0,47.0,72.0,77.0
2652,73,7500000,78.0,66.0,63.0,81.0,29.0,43.0
2653,73,7000000,79.0,57.0,69.0,72.0,70.0,75.0
2654,73,7000000,75.0,58.0,72.0,76.0,60.0,51.0
2655,73,6500000,81.0,70.0,55.0,72.0,35.0,80.0
2656,73,7000000,65.0,63.0,68.0,73.0,65.0,56.0
2657,73,7000000,80.0,69.0,59.0,75.0,29.0,60.0
2658,73,7000000,88.0,60.0,66.0,78.0,23.0,54.0
2659,73,6500000,67.0,35.0,43.0,52.0,74.0,75.0
2661,73,6500000,78.0,35.0,61.0,69.0,71.0,74.0
2662,73,6500000,66.0,28.0,57.0,63.0,72.0,76.0
2663,73,7000000,70.0,67.0,71.0,70.0,65.0,68.0
2664,73,7000000,73.0,65.0,75.0,76.0,55.0,64.0
2665,73,6500000,61.0,35.0,48.0,57.0,74.0,71.0
2666,73,7000000,65.0,67.0,72.0,76.0,49.0,59.0
2667,73,6500000,61.0,60.0,72.0,71.0,68.0,70.0
2668,73,6000000,76.0,61.0,66.0,76.0,69.0,62.0
2670,73,6500000,78.0,70.0,59.0,70.0,28.0,70.0
2671,73,6000000,64.0,55.0,66.0,65.0,70.0,76.0
2672,73,6000000,62.0,36.0,59.0,62.0,72.0,72.0
2673,73,6000000,66.0,25.0,58.0,51.0,73.0,74.0
2674,73,6500000,72.0,71.0,67.0,76.0,40.0,57.0
2675,73,6000000,67.0,60.0,63.0,70.0,72.0,83.0
2676,73,6500000,85.0,68.0,63.0,74.0,26.0,63.0
2677,73,6500000,82.0,71.0,65.0,76.0,28.0,55.0
2678,73,6500000,70.0,68.0,77.0,77.0,35.0,58.0
2679,73,6000000,77.0,57.0,69.0,75.0,68.0,62.0
2680,73,6000000,69.0,66.0,71.0,76.0,40.0,52.0
2681,73,5500000,59.0,36.0,52.0,58.0,72.0,70.0
2682,73,5500000,80.0,60.0,70.0,76.0,66.0,65.0
2683,73,6000000,80.0,69.0,72.0,73.0,43.0,66.0
2684,73,6000000,87.0,61.0,70.0,76.0,44.0,63.0
2685,73,6500000,91.0,68.0,55.0,76.0,26.0,64.0
2686,73,6000000,82.0,69.0,62.0,77.0,27.0,60.0
2687,73,6000000,82.0,70.0,66.0,77.0,37.0,63.0
2688,73,6000000,78.0,65.0,70.0,75.0,46.0,49.0
2690,73,5500000,73.0,54.0,63.0,67.0,71.0,75.0
2691,73,6000000,71.0,67.0,66.0,78.0,42.0,73.0
2692,73,5500000,61.0,36.0,56.0,49.0,74.0,70.0
2694,73,5500000,70.0,41.0,54.0,59.0,72.0,77.0
2695,73,6000000,86.0,71.0,62.0,76.0,31.0,55.0
2696,73,6000000,84.0,62.0,67.0,75.0,40.0,66.0
2697,73,6000000,87.0,71.0,57.0,79.0,25.0,65.0
2698,73,5500000,62.0,38.0,59.0,59.0,72.0,77.0
2700,73,6000000,75.0,68.0,72.0,76.0,44.0,61.0
2701,73,5500000,71.0,37.0,61.0,63.0,72.0,76.0
2702,73,5500000,83.0,60.0,64.0,65.0,71.0,76.0
2703,73,5500000,58.0,35.0,51.0,52.0,72.0,75.0
2704,73,5500000,62.0,33.0,53.0,60.0,72.0,73.0
2705,73,5500000,75.0,35.0,67.0,69.0,71.0,60.0
2706,73,6000000,89.0,70.0,64.0,73.0,65.0,76.0
2707,73,5500000,64.0,34.0,58.0,58.0,74.0,70.0
2708,73,6000000,54.0,60.0,74.0,71.0,67.0,65.0
2709,73,5500000,70.0,71.0,70.0,75.0,45.0,63.0
2710,73,5500000,71.0,70.0,59.0,71.0,37.0,64.0
2711,73,5500000,74.0,64.0,72.0,75.0,63.0,73.0
2712,73,5500000,84.0,70.0,54.0,70.0,28.0,70.0
2713,73,5000000,60.0,35.0,56.0,61.0,75.0,67.0
2716,73,5500000,76.0,70.0,69.0,75.0,26.0,59.0
2717,73,5500000,79.0,69.0,70.0,75.0,63.0,65.0
2719,73,5500000,81.0,68.0,68.0,72.0,40.0,75.0
2720,73,5500000,78.0,71.0,64.0,75.0,28.0,67.0
2721,73,5500000,82.0,69.0,70.0,78.0,31.0,64.0
2722,73,5000000,60.0,57.0,62.0,66.0,71.0,78.0
2723,73,5500000,71.0,64.0,73.0,77.0,63.0,66.0
2724,73,5500000,69.0,72.0,51.0,69.0,39.0,70.0
2725,73,5500000,67.0,69.0,52.0,70.0,31.0,75.0
2726,73,5000000,83.0,63.0,67.0,74.0,69.0,69.0
2727,73,5000000,74.0,66.0,68.0,72.0,72.0,69.0
2728,73,5000000,89.0,59.0,65.0,76.0,66.0,66.0
2729,73,5000000,76.0,47.0,63.0,73.0,71.0,70.0
2730,73,5000000,72.0,31.0,48.0,45.0,72.0,80.0
2731,73,5000000,59.0,66.0,68.0,67.0,72.0,71.0
2733,73,5500000,72.0,64.0,70.0,75.0,61.0,63.0
2734,73,5500000,78.0,63.0,69.0,75.0,35.0,65.0
2735,73,4900000,54.0,41.0,49.0,57.0,73.0,72.0
2736,73,5500000,79.0,63.0,70.0,78.0,44.0,59.0
2737,73,5000000,75.0,56.0,70.0,73.0,71.0,70.0
2738,73,5500000,73.0,72.0,65.0,66.0,35.0,80.0
2739,73,5500000,74.0,66.0,72.0,73.0,68.0,75.0
2740,73,4900000,70.0,45.0,63.0,70.0,71.0,75.0
2741,73,4900000,57.0,35.0,57.0,57.0,74.0,73.0
2742,73,5500000,75.0,69.0,65.0,76.0,35.0,66.0
2743,73,5000000,53.0,55.0,67.0,65.0,72.0,72.0
2745,73,5500000,81.0,63.0,71.0,81.0,58.0,66.0
2747,73,4900000,72.0,41.0,63.0,68.0,73.0,68.0
2749,73,5500000,65.0,71.0,61.0,65.0,42.0,78.0
2750,73,5500000,75.0,61.0,70.0,74.0,68.0,66.0
2751,73,5500000,93.0,69.0,61.0,74.0,32.0,70.0
2752,73,5500000,90.0,70.0,64.0,77.0,25.0,63.0
2754,73,5000000,69.0,64.0,68.0,71.0,70.0,76.0
2755,73,5500000,59.0,65.0,72.0,70.0,70.0,68.0
2756,73,5500000,75.0,69.0,71.0,76.0,36.0,60.0
2757,73,5500000,79.0,69.0,68.0,73.0,46.0,64.0
